lgbt,一次,中国,交流,会,作出,分享,参加,同性,同性恋,工作,报道,时,来源,没有,活动,环球网,社会,称,群体,行为,表示,认为,记者,过程,进行,问题
0.0,0.0,0.0,0.0,0.0,0.0,0.13909160614905147,0.13909160614905147,0.0,0.6927515865758261,0.0,0.5563664245962059,0.0,0.0,0.0,0.0,0.27818321229810294,0.0,0.2528563347622106,0.0,0.0,0.0,0.0,0.13909160614905147,0.0,0.10578275162554084,0.0
0.0,0.22537179884685835,0.22537179884685835,0.0,0.0,0.0,0.12397286985825334,0.0,0.12397286985825334,0.0,0.0,0.12397286985825334,0.0,0.0,0.0,0.0,0.12397286985825334,0.0,0.0,0.9014871953874334,0.12397286985825334,0.0,0.0,0.0,0.0,0.0942845629841089,0.0
0.0862285807647938,0.07837799665843352,0.07837799665843352,0.1724571615295876,0.6270239732674682,0.0862285807647938,0.0862285807647938,0.0862285807647938,0.0862285807647938,0.0,0.1724571615295876,0.0,0.39188998329216757,0.06557905825237517,0.3135119866337341,0.0,0.0,0.2586857422943814,0.0,0.0,0.0862285807647938,0.1724571615295876,0.15675599331686704,0.0,0.0862285807647938,0.19673717475712552,0.2586857422943814
0.0,0.0,0.5865112822595093,0.32262903893917705,0.14662782056487733,0.0,0.0,0.0,0.16131451946958852,0.6695281164829451,0.0,0.0,0.0,0.1226838500114719,0.0,0.0,0.16131451946958852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226838500114719,0.0
0.0,0.11906880264495362,0.0,0.13099510453400862,0.0,0.0,0.0,0.26199020906801723,0.0,0.32621331010569943,0.13099510453400862,0.0,0.0,0.09962515345630214,0.0,0.13099510453400862,0.0,0.0,0.11906880264495362,0.0,0.0,0.0,0.11906880264495362,0.26199020906801723,0.13099510453400862,0.7970012276504171,0.0
0.39275166597642486,0.0,0.5517180502186475,0.03570469690694772,0.19472401772422854,0.07140939381389544,0.0,0.07140939381389544,0.10711409072084314,0.029638123770017906,0.03570469690694772,0.0,0.22717802067826662,0.0271543423024785,0.2596320236323047,0.03570469690694772,0.0,0.0,0.03245400295403809,0.5192640472646094,0.0,0.03570469690694772,0.22717802067826662,0.07140939381389544,0.07140939381389544,0.13577171151239248,0.07140939381389544
0.0,0.0,0.0,0.0,0.0753038400609805,0.16569301414770685,0.0,0.0,0.0,0.4813905929176269,0.0,0.4142325353692671,0.150607680121961,0.06300690403593281,0.22591152018294153,0.0,0.08284650707385342,0.24853952122156026,0.5271268804268635,0.0,0.0,0.3313860282954137,0.150607680121961,0.0,0.0,0.0,0.08284650707385342
0.0,0.0,0.2841764484197835,0.0,0.0,0.0,0.31264044602728314,0.0,0.31264044602728314,0.0,0.31264044602728314,0.0,0.0,0.2377711176529392,0.0,0.6252808920545663,0.0,0.31264044602728314,0.0,0.2841764484197835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31441318759319015,0.04763129878743559,0.7144694818115339,0.0,0.04763129878743559,0.05240219793219836,0.0,0.05240219793219836,0.0,0.43498557967964596,0.0,0.10480439586439672,0.1428938963623068,0.0,0.09526259757487118,0.0,0.0,0.10480439586439672,0.23815649393717794,0.1428938963623068,0.05240219793219836,0.05240219793219836,0.09526259757487118,0.15720659379659507,0.10480439586439672,0.03985322221783813,0.10480439586439672
0.042448982510239985,0.0771685253272752,0.0,0.042448982510239985,0.23150557598182558,0.0,0.042448982510239985,0.0,0.0,0.03523649005699877,0.0,0.0,0.1543370506545504,0.032283545340800315,0.11575278799091279,0.042448982510239985,0.0,0.8065306676945596,0.0,0.27008983864546315,0.38204084259215987,0.0,0.0771685253272752,0.0,0.08489796502047997,0.09685063602240096,0.042448982510239985
0.40303061625484177,0.12211238243706829,0.0,0.0,0.0,0.13434353875161392,0.0,0.0,0.0,0.0,0.13434353875161392,0.5373741550064557,0.12211238243706829,0.10217172398620052,0.24422476487413658,0.13434353875161392,0.26868707750322784,0.0,0.36633714731120487,0.36633714731120487,0.13434353875161392,0.13434353875161392,0.0,0.13434353875161392,0.0,0.0,0.0
